Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
89719,0.161733,0.171776,0.170772,0.169433,0.169768,0.179475,0.16575,0.164076,0.182487,0.160059,0.1695329
89720,0.174454,0.175793,0.187842,0.186169,0.176797,0.175458,0.182153,0.176128,0.167089,0.180814,0.1782697
89721,0.173115,0.157045,0.17345,0.174119,0.177132,0.172446,0.169433,0.17345,0.171107,0.181149,0.1722446
89722,0.170102,0.17278,0.171107,0.180479,0.172111,0.170102,0.171107,0.169433,0.157715,0.175793,0.1710729
89723,0.174789,0.178471,0.174789,0.16575,0.167759,0.185165,0.172111,0.180479,0.159389,0.170102,0.1728804
89724,0.176128,0.175124,0.171441,0.174789,0.170772,0.173115,0.171107,0.164746,0.16575,0.167759,0.1710731
89725,0.15738,0.17981,0.174789,0.158719,0.177467,0.167759,0.160059,0.168428,0.173785,0.172111,0.1690307
89726,0.178136,0.171107,0.174454,0.178806,0.180479,0.176128,0.169098,0.178136,0.170437,0.1855,0.1762281
89727,0.17345,0.168094,0.166755,0.177132,0.159054,0.170437,0.172111,0.164411,0.170437,0.175793,0.1697674
89728,0.17278,0.159054,0.166085,0.17278,0.17278,0.168763,0.174789,0.174789,0.169768,0.171441,0.1703029
89729,0.173115,0.177132,0.175793,0.175793,0.169098,0.163072,0.160393,0.164746,0.174119,0.172111,0.1705372
89730,0.175124,0.181818,0.184161,0.176797,0.171441,0.180479,0.181149,0.19052,0.183826,0.194201,0.1819516
89731,0.182822,0.173115,0.170102,0.173115,0.162737,0.171776,0.173115,0.168763,0.166085,0.15805,0.169968
89732,0.173115,0.169768,0.178136,0.165415,0.154701,0.175124,0.174454,0.168094,0.18985,0.168094,0.1716751
89733,0.172111,0.168428,0.162402,0.173115,0.168428,0.171441,0.16575,0.161063,0.165415,0.174789,0.1682942
89734,0.174119,0.177467,0.165415,0.175458,0.193531,0.181818,0.187173,0.192862,0.179475,0.175124,0.1802442
89735,0.15805,0.176463,0.16575,0.159054,0.171441,0.170772,0.15805,0.173785,0.167089,0.163741,0.1664195
89736,0.172111,0.169768,0.182487,0.175124,0.179475,0.177801,0.168763,0.175793,0.18483,0.183826,0.1769978
89737,0.178136,0.174789,0.166755,0.180479,0.181149,0.164746,0.161398,0.163407,0.168763,0.163741,0.1703363
89738,0.168763,0.171441,0.172111,0.169098,0.171441,0.170772,0.177801,0.175124,0.170102,0.173785,0.1720438
89739,0.167759,0.171107,0.193531,0.193866,0.172111,0.174789,0.171441,0.184496,0.17278,0.168763,0.1770643
89740,0.184161,0.17981,0.182153,0.175124,0.186504,0.180479,0.183826,0.186169,0.178136,0.185165,0.1821527
89741,0.19052,0.19487,0.182153,0.177132,0.184161,0.184496,0.181483,0.175124,0.184161,0.182822,0.1836922
89742,0.16575,0.173115,0.177467,0.1855,0.164411,0.176797,0.16642,0.158719,0.18483,0.181818,0.1734827
89743,0.171776,0.180479,0.168763,0.193866,0.176797,0.174454,0.176463,0.178471,0.182487,0.1855,0.1789056
89744,0.170772,0.173115,0.168763,0.181483,0.177467,0.162737,0.167759,0.183157,0.170437,0.169098,0.1724788
89745,0.169433,0.177467,0.17981,0.160393,0.173785,0.188177,0.17981,0.172446,0.183826,0.164411,0.1749558
89746,0.181818,0.180814,0.180144,0.180814,0.181149,0.178806,0.188846,0.180479,0.180479,0.179475,0.1812824
89747,0.163741,0.169768,0.169433,0.17345,0.177132,0.168428,0.172111,0.187508,0.186838,0.169768,0.1738177
89748,0.179475,0.183826,0.192862,0.180814,0.175793,0.191523,0.182487,0.188846,0.189181,0.180814,0.1845621
89749,0.170102,0.16575,0.175124,0.175124,0.15671,0.175458,0.173115,0.169098,0.170772,0.183491,0.1714744
